,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
σ[46],0.63,0.021,0.588,0.667,0.0,0.0,8405.0,2754.0,1.0
σ[47],0.749,0.026,0.702,0.798,0.0,0.0,8578.0,3105.0,1.0
σ[48],0.35,0.012,0.329,0.374,0.0,0.0,8791.0,2685.0,1.0
σ[49],0.493,0.017,0.463,0.526,0.0,0.0,9286.0,2753.0,1.0
σ[50],0.206,0.007,0.192,0.22,0.0,0.0,10455.0,2876.0,1.0
σ[51],0.838,0.029,0.786,0.892,0.0,0.0,9198.0,2879.0,1.0
σ[52],0.657,0.022,0.618,0.699,0.0,0.0,9761.0,3020.0,1.0
σ[53],1.014,0.035,0.947,1.078,0.0,0.0,9020.0,2727.0,1.0
σ[54],0.72,0.024,0.675,0.763,0.0,0.0,7677.0,2743.0,1.0
σ[55],0.506,0.017,0.472,0.538,0.0,0.0,8974.0,2814.0,1.0
σ[56],0.339,0.012,0.317,0.361,0.0,0.0,10586.0,2530.0,1.0
σ[57],0.928,0.032,0.869,0.988,0.0,0.0,9511.0,2964.0,1.0
σ[58],0.488,0.017,0.455,0.518,0.0,0.0,7745.0,2421.0,1.0
σ[59],0.975,0.035,0.91,1.041,0.0,0.0,10433.0,2227.0,1.0
σ[60],0.96,0.033,0.902,1.023,0.0,0.0,10921.0,2897.0,1.0
σ[61],0.471,0.016,0.441,0.502,0.0,0.0,8358.0,2555.0,1.0
σ[62],0.744,0.025,0.696,0.789,0.0,0.0,9940.0,2725.0,1.0
σ[63],0.605,0.02,0.568,0.642,0.0,0.0,9801.0,2754.0,1.0
σ[64],0.598,0.02,0.561,0.638,0.0,0.0,10305.0,2621.0,1.0
σ[65],1.121,0.039,1.05,1.196,0.0,0.0,10673.0,2641.0,1.0
σ[66],0.248,0.008,0.231,0.262,0.0,0.0,9402.0,2688.0,1.0
σ[67],0.35,0.012,0.327,0.371,0.0,0.0,10645.0,2871.0,1.0
σ[68],0.396,0.014,0.371,0.421,0.0,0.0,9414.0,2809.0,1.0
σ[69],0.512,0.018,0.478,0.545,0.0,0.0,9159.0,2449.0,1.0
σ[70],0.456,0.016,0.43,0.487,0.0,0.0,8833.0,2837.0,1.0
σ[71],0.452,0.016,0.425,0.483,0.0,0.0,8890.0,2758.0,1.0
