,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
μ[255],15.886,0.059,15.773,15.998,0.001,0.001,5296.0,2954.0,1.0
μ[256],15.9,0.059,15.786,16.011,0.001,0.001,5307.0,2931.0,1.0
μ[257],15.913,0.06,15.808,16.033,0.001,0.001,5317.0,2909.0,1.0
μ[258],15.927,0.06,15.821,16.047,0.001,0.001,5335.0,2908.0,1.0
μ[259],15.94,0.06,15.834,16.06,0.001,0.001,5346.0,2953.0,1.0
μ[260],15.954,0.06,15.839,16.065,0.001,0.001,5355.0,3123.0,1.0
μ[261],15.967,0.06,15.862,16.088,0.001,0.001,5362.0,3121.0,1.0
μ[262],15.981,0.06,15.865,16.091,0.001,0.001,5369.0,3120.0,1.0
μ[263],15.995,0.06,15.878,16.105,0.001,0.001,5378.0,3151.0,1.0
μ[264],16.008,0.06,15.892,16.119,0.001,0.001,5383.0,3151.0,1.0
μ[265],16.022,0.06,15.905,16.133,0.001,0.001,5386.0,3152.0,1.0
μ[266],16.035,0.061,15.928,16.156,0.001,0.001,5389.0,3178.0,1.0
μ[267],16.049,0.061,15.941,16.17,0.001,0.001,5394.0,3242.0,1.0
μ[268],16.062,0.061,15.949,16.178,0.001,0.001,5368.0,3242.0,1.0
μ[269],16.076,0.061,15.963,16.192,0.001,0.001,5364.0,3242.0,1.0
μ[270],16.089,0.061,15.97,16.2,0.001,0.001,5363.0,3242.0,1.0
μ[271],16.103,0.061,15.991,16.221,0.001,0.001,5359.0,3205.0,1.0
μ[272],16.116,0.061,16.0,16.231,0.001,0.001,5354.0,3205.0,1.0
μ[273],16.13,0.061,16.013,16.244,0.001,0.001,5346.0,3204.0,1.0
μ[274],16.143,0.062,16.026,16.257,0.001,0.001,5340.0,3236.0,1.0
μ[275],16.157,0.062,16.039,16.271,0.001,0.001,5335.0,3239.0,1.0
μ[276],16.17,0.062,16.052,16.284,0.001,0.001,5326.0,3260.0,1.0
μ[277],16.184,0.062,16.065,16.298,0.001,0.001,5320.0,3260.0,1.0
μ[278],16.197,0.062,16.077,16.311,0.001,0.001,5311.0,3226.0,1.0
μ[279],16.211,0.062,16.089,16.324,0.001,0.001,5296.0,3200.0,1.0
μ[280],16.224,0.063,16.103,16.338,0.001,0.001,5286.0,3253.0,1.0
μ[281],16.238,0.063,16.116,16.353,0.001,0.001,5272.0,3253.0,1.0
μ[282],16.251,0.063,16.139,16.376,0.001,0.001,5257.0,3253.0,1.0
μ[283],16.265,0.063,16.141,16.379,0.001,0.001,5239.0,3226.0,1.0
